target,canonicalName,class,classKey,confidence,family,familyKey,genus,genusKey,kingdom,kingdomKey,matchType,note,order,orderKey,phylum,phylumKey,rank,scientificName,species,speciesKey,status,synonym,usageKey
Agave sisalana,Agave sisalana,Liliopsida,196,99,Asparagaceae,7683,Agave,2766430,Plantae,6,EXACT,,Asparagales,1169,Tracheophyta,7707728,SPECIES,Agave sisalana Perrine,Agave sisalana,2766636,ACCEPTED,False,2766636
Aonidiella orientalis,Aonidiella orientalis,Insecta,216,99,Diaspididae,4521,Aonidiella,2082961,Animalia,1,EXACT,,Hemiptera,809,Arthropoda,54,SPECIES,"Aonidiella orientalis (Newstead, 1894)",Aonidiella orientalis,2083015,ACCEPTED,False,2083015
Dysmicoccus neobrevipes,Dysmicoccus neobrevipes,Insecta,216,100,Pseudococcidae,4534,Dysmicoccus,2092782,Animalia,1,EXACT,,Hemiptera,809,Arthropoda,54,SPECIES,"Dysmicoccus neobrevipes Beardsley, 1959",Dysmicoccus neobrevipes,2092833,ACCEPTED,False,2092833
Persea americana,Persea americana,Magnoliopsida,220,100,Lauraceae,6688,Persea,3034041,Plantae,6,EXACT,,Laurales,407,Tracheophyta,7707728,SPECIES,Persea americana Mill.,Persea americana,3034046,ACCEPTED,False,3034046
Trigonops,Trigonops,Insecta,216,97,Curculionidae,4239,Trigonops,1225109,Animalia,1,EXACT,,Coleoptera,1470,Arthropoda,54,GENUS,"Trigonops Guérin-Ménéville, 1841",,-1,ACCEPTED,False,1225109
Phytorus lineolatus,Phytorus,Insecta,216,94,Chrysomelidae,7780,Phytorus,4718924,Animalia,1,HIGHERRANK,,Coleoptera,1470,Arthropoda,54,GENUS,"Phytorus Jacoby, 1884",,-1,DOUBTFUL,False,4718924
Xyleborus fornicatus,Xyleborus fornicatus,Insecta,216,98,Curculionidae,4239,Xyleborus,1232636,Animalia,1,EXACT,,Coleoptera,1470,Arthropoda,54,SPECIES,"Xyleborus fornicatus Eichhoff, 1868c",Xyleborus fornicatus,5020341,DOUBTFUL,False,5020341
Dacus cucurbitae,Dacus cucurbitae,Insecta,216,99,Tephritidae,3520,Bactrocera,1626510,Animalia,1,EXACT,,Diptera,811,Arthropoda,54,SPECIES,"Dacus cucurbitae Coquillett, 1899",Bactrocera cucurbitae,8070510,SYNONYM,True,1627349
Hemiberlesia palmae,Hemiberlesia palmae,Insecta,216,99,Diaspididae,4521,Hemiberlesia,2083865,Animalia,1,EXACT,,Hemiptera,809,Arthropoda,54,SPECIES,"Hemiberlesia palmae (Cockerell, 1893)",Hemiberlesia palmae,2083914,ACCEPTED,False,2083914
Ceroplastes floridensis,Ceroplastes floridensis,Insecta,216,99,Coccidae,6963,Ceroplastes,2092293,Animalia,1,EXACT,,Hemiptera,809,Arthropoda,54,SPECIES,"Ceroplastes floridensis Comstock, 1881",Ceroplastes floridensis,2092472,ACCEPTED,False,2092472
Coccus longulus,Coccus longulus,Insecta,216,99,Coccidae,6963,Coccus,2049629,Animalia,1,EXACT,,Hemiptera,809,Arthropoda,54,SPECIES,"Coccus longulus (Douglas, 1887)",Coccus longulus,8202676,ACCEPTED,False,8202676
Eucalymnatus tessellatus,Eucalymnatus tessellatus,Insecta,216,99,Coccidae,6963,Eucalymnatus,2091522,Animalia,1,EXACT,,Hemiptera,809,Arthropoda,54,SPECIES,"Eucalymnatus tessellatus (Signoret, 1873)",Eucalymnatus tessellatus,2091537,ACCEPTED,False,2091537
Hemiberlesia lataniae,Hemiberlesia lataniae,Insecta,216,99,Diaspididae,4521,Hemiberlesia,2083865,Animalia,1,EXACT,,Hemiptera,809,Arthropoda,54,SPECIES,"Hemiberlesia lataniae (Signoret, 1869)",Hemiberlesia lataniae,2083970,ACCEPTED,False,2083970
Aspidiotus destructor,Aspidiotus destructor,Insecta,216,99,Diaspididae,4521,Aspidiotus,5161675,Animalia,1,EXACT,,Hemiptera,809,Arthropoda,54,SPECIES,"Aspidiotus destructor Signoret, 1869",Aspidiotus destructor,5161683,ACCEPTED,False,5161683
Pseudococcus longispinus,Pseudococcus longispinus,Insecta,216,99,Pseudococcidae,4534,Pseudococcus,2081087,Animalia,1,EXACT,,Hemiptera,809,Arthropoda,54,SPECIES,"Pseudococcus longispinus (Targioni Tozzetti, 1867)",Pseudococcus longispinus,2095283,ACCEPTED,False,2095283
Icerya seychellarum,Icerya seychellarum,Insecta,216,100,Margarodidae,8651,Icerya,2080538,Animalia,1,EXACT,,Hemiptera,809,Arthropoda,54,SPECIES,"Icerya seychellarum Maskell, 1897",Icerya seychellarum,4484675,ACCEPTED,False,4484675
Aspidiotus spinosus,Aspidiotus spinosus,Insecta,216,98,Diaspididae,4521,Oceanaspidiotus,2083618,Animalia,1,EXACT,2 synonym homonyms,Hemiptera,809,Arthropoda,54,SPECIES,"Aspidiotus spinosus Leonardi, 1898",Oceanaspidiotus spinosus,7688159,SYNONYM,True,5161521
