uuid_id,vernacularName
ea2d6c59bf1a424bb9b685dec70af400,Agave
45a08215eaee43639815b155e2c34d6b,oriental scale
ebb8f69dba3f4ae0b489c0a6ea902e7c,grey pineapple mealybug
289954c303b24b89854770770ce7ad9b,Avocado
5de35f74bc5a43c9a1b3aa8a6d87ece1,weevil
768d62ed1fa449b6a59da8524ef3ecb6,phytorus leaf beetle
0f1902e4eaea46ef8beacea827e365f6,tea shot-hole borer
1e7eeb659e534c68b96142ccce109d78,melon fly
9a9c19ad9f8d44729d744076f156d8f1,palm scale
7636b96f77da4b999b7c0f88526ecadb,florida wax scale
586db7b9f4584401b6b6c13f1d74a5f2,long brown scale
dd99cc6d2e2b45f28530272735e4bfc3,tessellated scale
86c7f78e440d4b4d967dcce75258894f,latania scale
57431d5847df494eaefad17252240a67,coconut scale
30e033a85d6b409fa9031b7bcbb19a4b,long-tailed mealybug
833458d240294650a4f1eda6ca19cc64,seychelles scale
8fee44af137a43e18ad371862330da3a,scale
a58826ccc0eb41eda67a4f259dfcf11f,egyptian fluted scale
aaa96c2f48bd4ea59f3105267812abf9,redbanded thrips
34d4bbf451474b3596262fd085820a01,Bamboo
ec1f4d1dfebb4c7b884b39a0fa48c97e,chafer beetle
92d99bf396554f1aa21c0a92918d6099,bamboo longhorn
c86792d1e64446cebe867cca153a433d,mirid
49675dc478984bab8f0f6de7388608e4,bamboo scale
172c70b8124b4944b864ae766e773cbb,bamboo scale
7d5c74d483d3418d8ac0b0b418e5cfdf,bamboo scale
6bc85d2ce62643ea920814640c8bf6ec,bamboo scale
a7940efee6224fd3b3fa6a2352cff8a9,bamboo scale
f5b259c9a0224e27ad2026eb518225e2,bamboo scale
9bd0ff8a16384287bf5d8aa902b1407a,Banana
7efbef311b2f4c8bac5dfa1a0097847a,chinese rose beetle
ddd724b878d44a4987753f0a1ce763a1,banana root borer
28bc49b0e797415e94da7e8a4991ce7d,banana corm weevil
76ca56af109a432eba5921fb9a08c72b,leaf-footed plant bug
4aa7ee782d4c4b54af2ae6beba5f51d0,citrus mealybug
f41feabd764c49a989d8ee7ff6776d1b,scale
c01df697d10f4a8f9e8da0f335fcca8c,striped mealybug
da4d28da2c654c77aa37f1e0820bc023,erect-winged blue plant hopper
aabe3449fdaf4dd6b073634917779aa8,derbid planthopper
0224e6ce1a544337b67a90f9afc4afa8,black thread scale
93b5391d990d4c5ab0859a48287f8f27,mealybug
40e4c23a12a04e4782810d86dc124fbf,orchid mealybug
40b20b9ec0d6405ea6eba7ed70e2e1d5,boisduval scale
cde86053966d4fb9a3013498345ade2d,hemispherical scale
81322bb2202446658a59b955d897b399,dictyospermum scale
2707e908d2e042bcbcbbeefc084a8f3b,green scale
520fca16c97142b3970b8d31f541b781,brown soft scale
f795c04ca9a0410588b91ac6860b76ff,steatococcus scale
6e355091bb78447bbad6f8ab6445f277,inornate scale
bb7d8d9a5cdd46099225b7d816e47b70,california red scale
f8444a8b78614f7a9bbf7be90319f168,banana aphid
0810190b899f418c9297030bab3ac95b,cotton or melon aphid
b92ce6aca29448a7b910b5159851223a,rice cutworm
10c945a94dde4bd39c26b6ba2ff07274,banana leafroller
40f23254f4bd4d3ca3b24679b3687b6b,fruit piercing moth
42ab4a9181834856a0150b11db829ee7,large short-horn grasshopper
c61a17feb4d84301b09b435f3dbaabdb,javanese grasshopper
637f46d219fb45ca9ffb191679f03ec3,Beans
ab315652232148b0a4b173a97c029fc8,broad mite
